"Class Code","Class Name","Parameter Code","Parameter"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43823","Dichlorodifluoromethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43802","Dichloromethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43330","Dodecene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43202","Ethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43438","Ethyl acrylate"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45203","Ethylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43203","Ethylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43843","Ethylene dibromide"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43815","Ethylene dichloride"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17201","Fluoranthene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17149","Fluorene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43208","Freon 114"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43844","Hexachlorobutadiene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17243","Indeno[1,2,3-cd]pyrene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43214","Isobutane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43127","Isobutene & 1-butene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43221","Isopentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43243","Isoprene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45210","Isopropylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43814","Methyl chloroform"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43552","Methyl ethyl ketone"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43560","Methyl isobutyl ketone"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43441","Methyl methacrylate"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43372","Methyl tert-butyl ether"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43261","Methylcyclohexane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43262","Methylcyclopentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17141","Naphthalene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17212","Perylene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17150","Phenanthrene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43204","Propane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43205","Propylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43144","Propyne"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17204","Pyrene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17158","Retene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45220","Styrene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43373","Tert-amyl methyl ether"
