"CBSA Code","CBSA Name","CBSA Type"
"18580","Corpus Christi, TX","Metropolitan"
"18620","Corsicana, TX","Micropolitan"
"18660","Cortland, NY","Micropolitan"
"18700","Corvallis, OR","Metropolitan"
"18740","Coshocton, OH","Micropolitan"
"18780","Craig, CO","Micropolitan"
"18820","Crawfordsville, IN","Micropolitan"
"18860","Crescent City, CA","Micropolitan"
"18880","Crestview-Fort Walton Beach-Destin, FL","Metropolitan"
"18900","Crossville, TN","Micropolitan"
"18980","Cullman, AL","Micropolitan"
"19000","Cullowhee, NC","Micropolitan"
"19060","Cumberland, MD-WV","Metropolitan"
"19100","Dallas-Fort Worth-Arlington, TX","Metropolitan"
"19140","Dalton, GA","Metropolitan"
"19180","Danville, IL","Metropolitan"
"19220","Danville, KY","Micropolitan"
"19260","Danville, VA","Micropolitan"
"19300","Daphne-Fairhope-Foley, AL","Metropolitan"
"19340","Davenport-Moline-Rock Island, IA-IL","Metropolitan"
"19380","Dayton, OH","Metropolitan"
"19420","Dayton, TN","Micropolitan"
"19760","DeRidder, LA","Micropolitan"
"19460","Decatur, AL","Metropolitan"
"19500","Decatur, IL","Metropolitan"
"19540","Decatur, IN","Micropolitan"
"19580","Defiance, OH","Micropolitan"
"19620","Del Rio, TX","Micropolitan"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","Metropolitan"
"19700","Deming, NM","Micropolitan"
"19740","Denver-Aurora-Lakewood, CO","Metropolitan"
"19780","Des Moines-West Des Moines, IA","Metropolitan"
"19820","Detroit-Warren-Dearborn, MI","Metropolitan"
"19860","Dickinson, ND","Micropolitan"
"19940","Dixon, IL","Micropolitan"
"19980","Dodge City, KS","Micropolitan"
"20020","Dothan, AL","Metropolitan"
"20060","Douglas, GA","Micropolitan"
"20100","Dover, DE","Metropolitan"
"20180","DuBois, PA","Micropolitan"
"20140","Dublin, GA","Micropolitan"
"20220","Dubuque, IA","Metropolitan"
"20260","Duluth, MN-WI","Metropolitan"
"20300","Dumas, TX","Micropolitan"
"20340","Duncan, OK","Micropolitan"
"20380","Dunn, NC","Micropolitan"
"20420","Durango, CO","Micropolitan"
"20460","Durant, OK","Micropolitan"
"20500","Durham-Chapel Hill, NC","Metropolitan"
"20540","Dyersburg, TN","Micropolitan"
"20580","Eagle Pass, TX","Micropolitan"
"20700","East Stroudsburg, PA","Metropolitan"
"20660","Easton, MD","Micropolitan"
"20740","Eau Claire, WI","Metropolitan"
"20780","Edwards, CO","Micropolitan"
"20820","Effingham, IL","Micropolitan"
"20900","El Campo, TX","Micropolitan"
"20940","El Centro, CA","Metropolitan"
"20980","El Dorado, AR","Micropolitan"
"21340","El Paso, TX","Metropolitan"
"21020","Elizabeth City, NC","Micropolitan"
"21060","Elizabethtown-Fort Knox, KY","Metropolitan"
"21120","Elk City, OK","Micropolitan"
"21140","Elkhart-Goshen, IN","Metropolitan"
"21180","Elkins, WV","Micropolitan"
