"Parameter","Parameter Code","Duration Code","Duration Description","AQI Category","Low AQI","High AQI","Low Breakpoint","High Breakpoint"
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","UNHEALTHY",151,200,55.5,150.4
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","VERY UNHEALTHY",201,300,150.5,250.4
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","HAZARDOUS",301,400,250.5,350.4
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","HAZARDOUS",401,500,350.5,500.4
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","HAZARDOUS",501,999,500.5,99999.9
"Sulfur dioxide","42401","1","1 HOUR","GOOD",0,50,0.0,35.0
"Sulfur dioxide","42401","1","1 HOUR","MODERATE",51,100,36.0,75.0
"Sulfur dioxide","42401","1","1 HOUR","UNHEALTHY FOR SENSITIVE",101,150,76.0,185.0
"Sulfur dioxide","42401","1","1 HOUR","UNHEALTHY",151,200,186.0,304.0
"Sulfur dioxide","42401","1","1 HOUR","UNHEALTHY",200,200,305.0,99999.0
"Sulfur dioxide","42401","X","24-HR BLK AVG","NONE",-1,-1,0.0,304.0
"Sulfur dioxide","42401","X","24-HR BLK AVG","VERY UNHEALTHY",201,300,305.0,604.0
"Sulfur dioxide","42401","X","24-HR BLK AVG","HAZARDOUS",301,400,605.0,804.0
"Sulfur dioxide","42401","X","24-HR BLK AVG","HAZARDOUS",401,500,805.0,1004.0
"Sulfur dioxide","42401","X","24-HR BLK AVG","HAZARDOUS",501,999,1005.0,99999.0
